Identifer,Title,filename,Contributor,creator,creator,date,description,format,Language,publisher,relation,rights,subject,subject,subject,Coverage,type,Source,File Name
fgcu_hd_0001,Donna Was The Worst Storm We Ever Had,20250709134214400.pdf,,Unknown,,Post 1990,"Personal accounts of the storm from September 10, 1960, with statistical data to coincide with it.",6 pgs.,Eng,,,,Hurricane Donna,Florida History,Hurricane Donna,Florida,Text,Collier County Museum,fgcu_hd_0001
fgcu_hd_0002,Hurricanes,20250709134354058.pdf,,Unknown,,Unknown,A list of hurricanes that directly affected Collier County since the National Weather Service has kept track in 1871.,6 pgs.,Eng,,,,Hurricane History,Hurricane Damage,History of Florida Hurricanes pre-1960,Collier County,Text,Collier County Museum,fgcu_hd_0002
fgcu_hd_0003,Hurricane Donna,20250709134820101.pdf,,Florida Health Notes,,"April, 1961","Accumulated health notes about Hurricane Donna, methods for preparation, after effects of it, and statistics about how many were injured and/or killed.",11 pgs.,Eng,Florida Health Notes,,,Hurricane,Health,Hurricane Donna health and wellness,Florida,Text,Collier County Museum,fgcu_hd_0003
fgcu_hd_0004,Federal Assistance Promised County; Damage in Florida Nears Billion Mark,out (4).pdf,,Fort Myers News Press,,13-Sep,Hurricane Donna's damage and how much money it will cost to help with relief.,1 pg.,Eng,Fort Myers News Press,,,Newspaper,Billions,Hurricane Damage,Lee County,Text,Collier County Museum,fgcu_hd_0004
fgcu_hd_0005,Hurricane Heads for Keys; Islanders Start Evacuating,out.pdf,,Fort Myers News Press,,9/9/1960,Hurricane Donna's prescense scared the islanders of the Florida Keys after Cuba was hit hard.,1 pg.,Eng,Fort Myers News Press,,,Newspaper,Evacuation,Hurricane Evacuation,Florida,Text,Collier County Museum,fgcu_hd_0005
fgcu_ph_0001,Everglades Inn 1923,00638-1.jpg,,Unknown,,1923,"Photograph of a large group of people in front of the Everglades Inn in 1923, likely due to a grand opening or event of some sort.",4x6,Eng,Unknown,,,Opening,Hotel,Everglades Inn,Everglades City,Image,Collier County Museum,fgcu_ph_0001
fgcu_ph_0002,Chokoloskee Island Park,2014202-1.jpg,,Unknown,,Unknown,"A photograph of the Chokoloskee Island Park building, with signs of food and a Coke vending machine.",4x6,Eng,Unknown,,,Park,Choloskee Island,Choloskee Island Park,Choloskee Island,Image,Collier County Museum,fgcu_ph_0002
fgcu_ph_0003,Tractor race in the swamp,202517276-1.jpeg,,Unknown,,Unknown,"Men of all ages, sitting and watching tractor racing in the muddy swamp.",4x6,N/A,Unknown,,,Tractor,Swamp,Tractor Racing,Florida,Image,Collier County Museum,fgcu_ph_0003
fgcu_ph_0004,Estrada Farm Box,20152525-1.jpg,,Unknown,,Unknown,A photo of a tomato box from Estrada & Sons Inc.,4x6,Eng,Unknown,,,Tomato,Estrada,Box of tomatoes?,Florida?,Image,Collier County Museum,fgcu_ph_0004
fgcu_ph_0005,Flooding After Storm Pt.1,2013274-1.jpg,,Unknown,,Unknown,A photograph of a flood that had taken over after a very big storm/hurricane.,4x6,Eng,Unknown,,,Flooding,Hurricane,Flooding,Florida?,Image,Collier County Museum,fgcu_ph_0005
fgcu_ph_0006,Big Beach House,202517231-1.jpeg,,Unknown,,Unknown,"Photograph of a large house with multiple sotries, it seems to be located on the beach, and there is an American flag on top.",4x6,N/A,Unknown,,,Beach,America,House on beach,Florida,Image,Collier County Museum,fgcu_ph_0006
fgcu_ph_0007,Collier County Fair,00688-1.jpg,,Unknown,,Unknown,"A photo of the entrance to the Collier County Fair, with a group of people gathered around outside.",4x6,Eng,Unknown,,,Fair,Fun?,Fair entrance,Collier County,Image,Collier County Museum,fgcu_ph_0007
fgcu_ph_0008,Notice On Tree,20197294-1.jpg,,Unknown,,Unknown,"Photograph of a sign nailed to a tree, it warns people to mind their baby, cash their check, crank their motor, and go fishing.",4x6,Eng,Unknown,,,Sign,Fishing,Fishing,Florida,Image,Collier County Museum,fgcu_ph_0008
fgcu_ph_0009,Gathering,00641-1.jpg,,Unknown,,Unknown,"A photo of a group of people gathered on a farm, with some type of target in the background.",4x6,N/A,Unknown,,,Gathering,Farm,Farm gathering,Florida,Image,Collier County Museum,fgcu_ph_0009
fgcu_ph_0010,"Flooding After Storm, Pt.2",2013275-1.jpg,,Unknown,,Unknown,"Photograph of flooding in a neighborhood, the only thing visible is the porches from the houses and above.",4x6,N/A,Unknown,,,Flooding,Neighborhood,Flooding after storm,Florida,Image,Collier County Museum,fgcu_ph_0010
fgcu_ph_0011,Excavation Project,006155b-1.jpg,,Unknown,,Unknown,"A photo of three men standing in front of a ditch, that had been recently been excavated.",4x6,N/A,Unknown,,,Excavate,Construction,Excavation of ditches in Florida,Florida,Image,Collier County Museum,fgcu_ph_0011
fgcu_ph_0012,Flooding After Storm Pt.3,2013275-1.jpg,,Unknown,,Unknown,Photograph of two men rowing in a boat after flooding in a neighborhood because it was the only means to get around.,4x6,N/A,Unknown,,,Flooding,Boat,Flooding after storm in Florida,Florida,Image,Collier County Museum,fgcu_ph_0012
fgcu_ph_0013,Man with his car,0165-1.jpg,,Unknown,,Unknown,A photo of a man posing for a picture in front of his vehicle in a town of some sort.,4x6,N/A,Unknown,,,Old Florida,Machinery,Man in front of a vehicle,Florida,Image,Collier County Museum,fgcu_ph_0013
fgcu_ph_0012,Flooding After Storm Pt.4,2013275-1.jpg,,Unknown,,Unknown,Photograph of two men rowing in a boat after flooding in a neighborhood because it was the only means to get around.,4x6,N/A,Unknown,,,Flooding,Boat,Flooding after storm in Florida,Florida,Image,Collier County Museum,fgcu_ph_0012
fgcu_ph_0013,Man looking into distance,8624-1.jpg,,Unknown,,Unknown,Photo of a man's face.,4x6,N/A,Unknown,,,Man,Old,Guy looking out into distance,Florida,Image,Collier County Museum,fgcu_ph_0013
fgcu_ph_0014,Two men doing something with alcohol,822713-1.JPG,,Unknown,,Unknown,Photo of two guys,4x6,N/A,Unknown,,,Men,Wood,Two men doing something,Florida,Image,Collier County Museum,fgcu_ph_0014